node_id,alias,expression_raw,expr_type,alias_table,field,primary_table
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_ВозвратыПрочихНачисленийНПООстатки,НомерСчета,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО.Остатки
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_ВозвратыПрочихНачисленийНПООбороты,НомерСчета,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО.Обороты
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_ВозвратыПенсийНПООстатки,НомерСчета,РегистрНакопления.уп_ВозвратыПенсийНПО.Остатки
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_ВозвратыПенсийНПООбороты,НомерСчета,РегистрНакопления.уп_ВозвратыПенсийНПО.Обороты
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_НачисленияПенсийОбороты,НомерСчета,РегистрНакопления.уп_НачисленияПенсий.Обороты
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_ПрочиеНачисленияОбороты,НомерСчета,РегистрНакопления.уп_ПрочиеНачисления.Обороты
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_СостоянияДоговораСрезПоследних,ПенсионныйДоговор.ПенсионныйСчет,РегистрСведений.уп_СостоянияДоговора.СрезПоследних
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,СостоянияПС,НомерСчета,РегистрСведений.уп_СостоянияПС.СрезПоследних
31,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,field_ref,уп_СостоянияПС,НомерСчета,РегистрСведений.уп_СостоянияПС
33,НомерСчета,уп_РезервыОбороты.НомерСчета,field_ref,уп_РезервыОбороты,НомерСчета,РегистрНакопления.уп_Резервы.Обороты
