node_id,alias,primary_table,is_virtual,join_type
60,РегистрСведений.уп_СостоянияПС,РегистрСведений.уп_СостоянияПС,0,ИЗ
60,ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ПодготовкаКЗакрытию),ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ПодготовкаКЗакрытию),0,FROM
60,ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод),ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод),0,FROM
60,ЗНАЧЕНИЕ,ЗНАЧЕНИЕ,0,FROM
61,РегистрСведений.уп_СхемаСчета,РегистрСведений.уп_СхемаСчета,0,ИЗ
61,ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.СрочныхВыплат),ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.СрочныхВыплат),0,FROM
61,ЗНАЧЕНИЕ,ЗНАЧЕНИЕ,0,FROM
62,ВТ_ИзмененияВидаОбязательств_Предв,ВТ_ИзмененияВидаОбязательств_Предв,1,ИЗ
62,ВТ_ИзмененияВидаОбязательств_Предв.ВидОбязательств,ВТ_ИзмененияВидаОбязательств_Предв.ВидОбязательств,0,FROM
63,ВТ_ВидОбязательствНачало,ВТ_ВидОбязательствНачало,1,ИЗ
63,ВТ_ИзмененияВидаОбязательств.ВидОбязательств,ВТ_ИзмененияВидаОбязательств.ВидОбязательств,0,FROM
63,ВТ_ИзмененияВидаОбязательств.Период,ВТ_ИзмененияВидаОбязательств.Период,0,FROM
63,ВТ_ИзмененияВидаОбязательств,ВТ_ИзмененияВидаОбязательств,1,ИЗ
64,ВТ_ВидОбязательствНачало,ВТ_ВидОбязательствНачало,1,ИЗ
65,ВТ_ИзмененияВидаОбязательств,ВТ_ИзмененияВидаОбязательств,1,ИЗ
66,ВТ_ВидыОбязательств,ВТ_ВидыОбязательств,1,ИЗ
66,ВТ_ВидыОбязательств_1,ВТ_ВидыОбязательств,1,ЛЕВОЕ_СОЕДИНЕНИЕ
66,ВТ_ВидыОбязательств.ВидОбязательств,ВТ_ВидыОбязательств.ВидОбязательств,0,FROM
67,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,1,ИЗ
68,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,1,ИЗ
68,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_СчетаТранзитныеВидыОбязательств,1,ЛЕВОЕ_СОЕДИНЕНИЕ
69,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,1,ИЗ
69,ВТ_СчетаНеТранзитныеВидыОбязательств,ВТ_СчетаНеТранзитныеВидыОбязательств,1,ВНУТРЕННЕЕ_СОЕДИНЕНИЕ
70,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,1,ИЗ
70,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_СчетаТранзитныеВидыОбязательств,1,ВНУТРЕННЕЕ_СОЕДИНЕНИЕ
71,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
71,уп_НачисленияПенсий,РегистрНакопления.уп_НачисленияПенсий,0,ЛЕВОЕ_СОЕДИНЕНИЕ
71,ВТ_ДокументыСторно,ВТ_ДокументыСторно,1,ВНУТРЕННЕЕ_СОЕДИНЕНИЕ
71,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
71,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
71,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
71,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
71,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
71,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
71,0,0,0,FROM
71,СУММА,СУММА,0,FROM
71,уп_ПрочиеНачисления,РегистрНакопления.уп_ПрочиеНачисления,0,ЛЕВОЕ_СОЕДИНЕНИЕ
72,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
72,уп_НачисленияПенсий,РегистрНакопления.уп_НачисленияПенсий,0,ЛЕВОЕ_СОЕДИНЕНИЕ
72,ВТ_ДокументыСторно,ВТ_ДокументыСторно,1,ВНУТРЕННЕЕ_СОЕДИНЕНИЕ
72,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
72,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
72,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
73,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
73,уп_ПрочиеНачисления,РегистрНакопления.уп_ПрочиеНачисления,0,ЛЕВОЕ_СОЕДИНЕНИЕ
73,ВТ_ДокументыСторно,ВТ_ДокументыСторно,1,ВНУТРЕННЕЕ_СОЕДИНЕНИЕ
73,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
73,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
73,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
74,КАК,КАК,0,ИЗ
74,ПодЗапрос.ВидОбязательств,ПодЗапрос.ВидОбязательств,0,FROM
74,ПодЗапрос.ДатаОпределенияОбязательств,ПодЗапрос.ДатаОпределенияОбязательств,0,FROM
74,ПодЗапрос.ДатаОкончанияОбязательств,ПодЗапрос.ДатаОкончанияОбязательств,0,FROM
74,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
74,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
74,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
74,ВхСумма,СУММА,0,FROM
74,ИсхСумма,0,0,FROM
74,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
74,уп_ВозвратыПрочихНачисленийНПО,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО,0,ЛЕВОЕ_СОЕДИНЕНИЕ
74,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
74,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
74,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
74,уп_ВозвратыПенсийНПО,РегистрНакопления.уп_ВозвратыПенсийНПО,0,ЛЕВОЕ_СОЕДИНЕНИЕ
75,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
75,уп_Резервы,РегистрНакопления.уп_Резервы,0,ЛЕВОЕ_СОЕДИНЕНИЕ
75,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
75,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
75,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
75,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
75,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
75,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
75,ВхСумма,0,0,FROM
75,СУММА,СУММА,0,FROM
76,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
76,уп_Резервы,РегистрНакопления.уп_Резервы,0,ЛЕВОЕ_СОЕДИНЕНИЕ
76,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
76,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
76,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
77,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
77,уп_Резервы,РегистрНакопления.уп_Резервы,0,ЛЕВОЕ_СОЕДИНЕНИЕ
77,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
77,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
77,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
78,ВЫБРАТЬ,ВЫБРАТЬ,0,ИЗ
78,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
78,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
78,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
78,ВхСумма,СУММА,0,FROM
78,ИсхСумма,0,0,FROM
78,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
78,уп_Резервы,РегистрНакопления.уп_Резервы,0,ЛЕВОЕ_СОЕДИНЕНИЕ
78,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
78,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
78,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
78,ПодЗапрос.ВидОбязательств,ПодЗапрос.ВидОбязательств,0,FROM
78,ПодЗапрос.ДатаОпределенияОбязательств,ПодЗапрос.ДатаОпределенияОбязательств,0,FROM
78,ПодЗапрос.ДатаОкончанияОбязательств,ПодЗапрос.ДатаОкончанияОбязательств,0,FROM
79,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
79,уп_ВозвратыПрочихНачисленийНПО,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО,0,ЛЕВОЕ_СОЕДИНЕНИЕ
79,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,0,FROM
79,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,0,FROM
79,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,0,FROM
80,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,1,ИЗ
