node_id,node_name,expr_type,expr_text,output_alias,line
62,ВТ_ИзмененияВидаОбязательств,AGGREGATE,МИНИМУМ(ВТ_ИзмененияВидаОбязательств_Предв.Период),Период,2
66,ВТ_ВидыОбязательствДвижение,AGGREGATE,МИНИМУМ(ВТ_ВидыОбязательств.ДатаОпределенияОбязательств),ДатаОпределенияОбязательств,3
66,ВТ_ВидыОбязательствДвижение,AGGREGATE,МИНИМУМ(ВТ_ВидыОбязательств_1.ДатаОпределенияОбязательств),ДатаОкончанияОбязательств,4
71,ВТ_СторнированныеСуммыТранзитныеВиды,AGGREGATE,СУММА(уп_НачисленияПенсий.Сумма),Пенсия,5
71,ВТ_СторнированныеСуммыТранзитныеВиды,FUNCTION,0,ВыкупнаяСумма,6
71,ВТ_СторнированныеСуммыТранзитныеВиды,FUNCTION,0,ВыплатаПравопреемникам,7
72,Часть_1,AGGREGATE,СУММА(уп_НачисленияПенсий.Сумма),Пенсия,5
72,Часть_1,FUNCTION,0,ВыкупнаяСумма,6
72,Часть_1,FUNCTION,0,ВыплатаПравопреемникам,7
73,Часть_2,FUNCTION,0,0,5
73,Часть_2,AGGREGATE,"СУММА(ВЫБОР
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыРасторженцам)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ 0
	КОНЕЦ)",СУММА,6
73,Часть_2,AGGREGATE,"СУММА(ВЫБОР
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыНаследникам)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ 0
	КОНЕЦ)",СУММА,7
74,ВТ_ОстаткиТранзитныеВиды,CASE,"ВЫБОР 
		КОГДА ПодЗапрос.ДатаОпределенияОбязательств <= &НачалоПериода
			ТОГДА СУММА(ПодЗапрос.ВхСумма)
		ИНАЧЕ 0 
	КОНЕЦ",ВхСумма,5
74,ВТ_ОстаткиТранзитныеВиды,CASE,"ВЫБОР
		КОГДА ПодЗапрос.ДатаОкончанияОбязательств ЕСТЬ NULL
			ТОГДА СУММА(ПодЗапрос.ИсхСумма) 
		ИНАЧЕ 0 
	КОНЕЦ",ИсхСумма,6
75,ПодЗапрос,AGGREGATE,"СУММА(ВЫБОР уп_Резервы.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_Резервы.Сумма
				ИНАЧЕ -уп_Резервы.Сумма
			КОНЕЦ)",ВхСумма,5
75,ПодЗапрос,FUNCTION,0,ИсхСумма,6
76,Часть_1,AGGREGATE,"СУММА(ВЫБОР уп_Резервы.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_Резервы.Сумма
				ИНАЧЕ -уп_Резервы.Сумма
			КОНЕЦ)",ВхСумма,5
76,Часть_1,FUNCTION,0,ИсхСумма,6
77,Часть_2,FUNCTION,0,ВхСумма,5
77,Часть_2,AGGREGATE,"СУММА(ВЫБОР уп_Резервы.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_Резервы.Сумма
				ИНАЧЕ -уп_Резервы.Сумма
			КОНЕЦ)",ИсхСумма,6
